,SVM-l1,LR-l1,xgboost
Age,1.0,1.0,0.058
Ventilator,0.63,0.479,0.197
Immunosuppression,0.271,0.244,0.034
Chronic Renal Insufficiency,0.163,0.145,0.034
Other,0.125,0.127,0.035
Obesity ,0.111,0.111,0.029
Pneumonia,0.102,0.108,0.038
ICU,0.126,0.091,0.09
Hypertension,0.089,0.085,0.049
Diabetes,0.065,0.064,0.05
COPD,0.079,0.062,0.051
Asthma,0.063,0.056,0.0
Cardiovascular Disease,0.04,0.028,0.041
Pregnant,0.139,0.0,0.0
Tobacco Use,-0.089,-0.08,0.028
Gender,-0.092,-0.092,0.024
RESULTADO_3,-0.547,-0.718,0.242
